"id","cluster_id","sentiment","id","name","address","rating","rubric","text"
9696,1,POSITIVE,9696,Планета,"Челябинская область, село Варна, Советская улица, 125",5,Дом культуры,"Очень понравился кинотеатр, и сам дом культуры. Очень удобные места ожидания, все прибрано и аккуратно, вежливый персонал. Обязательно еще приедем)"
15893,-1,POSITIVE,15893,Планета,"Вологодская область, Череповец, улица Монтклер, 17А",5,Гостиница,"Чистые номера, доброжелательный персонал. Рекомендую! \nПриезжаем уже второй раз, без проблем заселили с собаками. Завтраки входят в стоимость, кафе на первом этаже, кормят вкусно. "
23410,0,POSITIVE,23410,Планета,"Краснодарский край, Анапа, Пионерский проспект, 11",5,Детский лагерь отдыха,"Очень хороший детский лагерь. Мой ребёнок ездил 3 раза, и просится ещё. Очень домашний, небольшое количество детей в отрядах. Молодые и заинтересованные своим делом вожатые, которые проходят подготовку. Территория небольшая, но удобная, безопасно. Море, собственный пляж и ежедневное двухразовое посещение обязательно. Питание хорошее, Наедались. На территории нет палаток, только питание в столовой, пятиразовое. Комнаты разные и на разное количество детей, жалоб не было. Очень много разных активностей, праздников, дети заняты постоянно! Телефон выдают раз в день для звонков. Можно написать заявление и телефон отдадут совсем, но пользоваться им будет некогда. В общем, Планета, это настоящий детский мир! Моя дочка со слезами грусти вспоминает лагерь, скучает по друзьям и отношению, праздникам. Рекомендую это место для вашего ребёнка однозначно!"
23411,0,POSITIVE,23411,Планета,"Краснодарский край, Анапа, Пионерский проспект, 11",5,Детский лагерь отдыха,"Ребёнок в восторге от лагеря, от вожатых и от атмосферы лагеря в целом. Телефоны? Какие телефоны, тут много всего интересного, то мастер классы, то море, то просто разные развлечения. Дети заняты чем-то интересным постоянно..... Какая фаниазия, просто диву даюсь и на гитаре им играли, и тематические вечеринки, и модный приговор устраивали, и спортивные соревнования. Питание разнообразное, порции большие. Походы на море обязательны, если волны и купаться нельзя, то гуляют вдоль берега, тем самым дышать морюшком все равно. Всегда в группе в Вк много фотографий и видео, устраивали даже отрядные фотосессии. В сравнение: одновременно с моим сыном, дети подруги были в другом лагере, тоже в Анапе, тоже на этом проспекте..... Сказали скучно и через неделю начали проситься домой. Так что понимаю, что выбора лагеря на следующий год точно не стоит, приедем так же в любимую ""Планета"".\nОгромная благодарность персоналу за прекрасный досуг и отдых сына! Отдых 2я смена июнь-июль.\nЛюди, которые пишут плохие отзывы, не учитывают одного, что зависит не только от лагеря, но и от настроения/ поведения ребёнка и от вожатых. Вожатые - это студенты педогагических вузов, которые проходят практику... А тут человеческий фактор никто не отменял: кто-то серьёзно   с любовью и фантазией подходят к работе, а тот геочень. Но судя по довольным лицам детей в группе в вк, все заезды были очень счастливы.\nЕщё раз спасибо за прекрасный отдых! До следующего лета 🙂"
33669,0,NEUTRAL,33669,Планета,"Республика Марий Эл, Йошкар-Ола, улица Баумана, 16",4,Торговый центр,"Нормальный ТЦ. Но есть там на 1-этаже офис МТС  с безграмотными сотрудниками. Девочка, возможно, новенькая, спросила у напарника по поводу моего вопроса, а тот парниша слащавый, волосы зализаны растительным маслом, блестят как кирзавый сапог после крема, одним словом - румын. Отфутболил меня, мол такие услуги ТОЛЬКО через госуслуги. Чуть позже зашёл я в другой офис МТС там девочка без лишних слов оформила мне всё на месте по паспорту и без всяких госуслуг."
33670,0,POSITIVE,33670,Планета,"Республика Марий Эл, Йошкар-Ола, улица Баумана, 16",5,Торговый центр,"Удобное расположение ТЦ. Большая парковка. Множество магазинов. Есть туалет. Мобильные операторы, ювелирные магазины, товары для животных, одежда, парфюмерия, сумки, головные уборы, электроника."
33671,0,POSITIVE,33671,Планета,"Республика Марий Эл, Йошкар-Ола, улица Баумана, 16",5,Торговый центр,"Близко к тем, кто живет в микрорайоне Гомзово , также рядом есть остановка. В магазине чисто , есть многие любимые отделы (особенно нравится магазин фандей) , также есть зона где покушать )"
57047,1,POSITIVE,57047,Планета,"Иркутск, улица Розы Люксембург, 144",5,Гостиница,Отличное место для жилья если в командировке или отоспаться после длинной дороги. Чисто светло и уютно. Доброжелательный персонал)))
63746,0,NEGATIVE,63746,Планета,"Самара, улица 22 Партсъезда, 26",1,Магазин одежды;Магазин детской одежды;Магазин обуви,"Не ходите в ужасный магазин планета одежды и обуви по этому адресу. Магазин маленький,не развернутся и за вами постоянно ходят,прям в ухо дышат,думая что вы что-то украдете,очень неприятно. Стоишь смотришь,выбираешь одежду и за тобой  как тени ходят,чтобы ты ничего не украл,( было бы что там красть,китайские тряпки на один сезон) еще бы за ручку водили смотреть это барахло. Очень неприятный магазин. Не рекомендую!!!"
63755,1,POSITIVE,63755,Планета,"Пермь, Екатерининская улица, 96",5,Турагентство;Бронирование гостиниц;Железнодорожные и авиабилеты,"Много лет мечтала съездить куда-нибудь в отпуск, но, то дорого, то не вовремя подходящие по другим параметрам путевки попадаются, то слишком далеко от морюшка... Долго металась, искала сама, пока не нашла Гуру туризма- Флюру. Она молниеносно подобрала путевку по привлекательной цене и прямо в мой отпуск по графику (не пришлось согласовывать перенос). \nА самое приятное в работе Флюры — это то, что она заботится о мелочах, как то, чтоб тебя забрали из аэропорта и привезли в отель, потом увезли обратно, окошки чтоб выходили на ту сторону, где приятный для тебя вид, чтоб был отель ""по интересам"" (семейный или для молодежи) и т.д. Кроме этого, Флюра рассказала сразу, что есть рядом и куда обязательно нужно сходить (сходила — не пожалела), даже где можно вкусно и не дорого перекусить.\nВ общем, путешествовать классно с Планетой и в особенности с Флюрой. 11/10"
63756,1,POSITIVE,63756,Планета,"Пермь, Екатерининская улица, 96",5,Турагентство;Бронирование гостиниц;Железнодорожные и авиабилеты,"В 2022г. Собрался с семьёй в Турцию (с вылетом из Перми) в каких только агенствах я не был, везде что то не так (в Турции всё нужно внимательно выбирать, то берег с заходом в море Асфальт или булыжники с меня размером или по грязном туннелю до моря идти и т. д.). Случайно зашёл в Планету (выслушали спокойно, а я уже был на нервах) мне сразу предложили 4 варианта которые все подходили и уже я выбирал. После отдыха мне звонили и интересовались как мы отдохнули и особенно по отелю, чтобы другим клиентам больше информации давать."
81197,-1,POSITIVE,81197,Планета,"Санкт-Петербург, Шкиперский проток, 14, корп. 21",5,Аварийно-спасательное оборудование и техника;Судовое оборудование,Нормальная фирма с минимальным временем на обслуживание покупателя.\nПринцип: качество и скорость. Нормальные и адекватные люди.
81264,-1,POSITIVE,81264,Планета,"Калининград, улица Черняховского, 26",5,"Развлекательный центр;Ночной клуб;Бар, паб;Ресторан;Караоке-клуб","Пожалуй это наверное единственное место, куда можно сходить потрясти булками))), на первом этаже можно выпить и перекусить, на втором тряхануть стариной , рекомендую 👍"
81265,1,NEGATIVE,81265,Планета,"Калининград, улица Черняховского, 26",3,"Развлекательный центр;Ночной клуб;Бар, паб;Ресторан;Караоке-клуб","Испортила настроение администратор Марина - забронировали столик специально под хоккейный матч, попросили переключить телевизор на канал матч тв, но администратор категорично отказала, сославшись на то, что сегодня в клубе другая программа... Какая программа, так и не объяснила... Через полчаса, после пересменки администраторов, нам без проблем, по нашей просьбе переключил на нужный канал и все... Оказывается нет никакой программы."
81266,-1,NEUTRAL,81266,Планета,"Калининград, улица Черняховского, 26",2,"Развлекательный центр;Ночной клуб;Бар, паб;Ресторан;Караоке-клуб","Цена не соответствует качеству блюд в пивном клубе,дорого и не вкусно все."
81267,-1,NEUTRAL,81267,Планета,"Калининград, улица Черняховского, 26",1,"Развлекательный центр;Ночной клуб;Бар, паб;Ресторан;Караоке-клуб","В пивном баре 1 пицца и порция ролл готовилась полтора часа. Всё кроме строганины и сухарей подаётся не раньше часа, при посадке зала не более 30% \n Не советуем заведение. "
87647,0,POSITIVE,87647,Планета,"Саратов, улица имени С.Ф. Тархова, 48",5,Магазин одежды;Магазин обуви,"Постоянно там покупаю одежду и тд.\nПодберут одежду по размеру если она есть \nОчень отзывчивые люди , очень рекомендую всем"
95828,0,POSITIVE,95828,Планета,"Кемеровская область, Новокузнецк, улица ДОЗ, 10А",5,Торговый центр;Развлекательный центр,"Новокузнецке самый лучший ТРЦ, где можно развлечься, магазинах приемливая цена"
95829,-1,POSITIVE,95829,Планета,"Кемеровская область, Новокузнецк, улица ДОЗ, 10А",5,Торговый центр;Развлекательный центр,"Очень хороший гипермаркет, есть подземная порковка."
95830,-1,POSITIVE,95830,Планета,"Кемеровская область, Новокузнецк, улица ДОЗ, 10А",5,Торговый центр;Развлекательный центр,"Да всё хорошо на разный кошелёк, всё есть. Скидки хорошие, но не везде. Транспортная развязка удобная. "
95831,-1,POSITIVE,95831,Планета,"Кемеровская область, Новокузнецк, улица ДОЗ, 10А",5,Торговый центр;Развлекательный центр,"Далековато расположен, только на личном авто безопасно добраться. А так отлично 👍"
95832,0,NEUTRAL,95832,Планета,"Кемеровская область, Новокузнецк, улица ДОЗ, 10А",4,Торговый центр;Развлекательный центр,"Все есть,одежда,кино,покушать можно после всех прогулок,развлечься себе и своим детям в мегаленде"
95833,0,POSITIVE,95833,Планета,"Кемеровская область, Новокузнецк, улица ДОЗ, 10А",4,Торговый центр;Развлекательный центр,"Хороший ТЦ, лучше ситимолла. Сейчас пустовато, но в целом есть много магазинов. Еда как всегда хорошо. На входе вечно меняющееся помещение, на данный момент сейчас там зоопарк (не одобряю), а раньше были рестораны, будут ли хорошо все чистить после зоопарка - вопрос открытый"
120372,-1,POSITIVE,120372,Планета,"Красноярский край, Минусинск, Красноармейская улица, 24",5,Прачечная;Баня,Отличная баня и сауна  с бассейном. Всегда идут на встречу если с детьми можно воду сделать по теплее . Хороший и приветливый персонал . Есть в продаже все для отличного отдыха веники напитки и т.д. Рекомендую
134410,1,POSITIVE,134410,Планета,"Республика Крым, Евпатория, проспект Ленина, 73/29",5,Санаторий,"Отличный санаторий с хорошим обслуживанием! 3-х разовое питание, уважительный персонал, отличная парковая зона с минизоопарком. Очень красивый бассейн с минеральной водой под открытым небом! "
134411,-1,POSITIVE,134411,Планета,"Республика Крым, Евпатория, проспект Ленина, 73/29",5,Санаторий,"Очень здорово что есть возможность приехать со своим питомцев.  Хорошая территория, народу не много, лечение, питание, проживание всё на хорошем уровне. Можно взять палки для скандинавской ходьбы, ракетки для большого тенниса, тренироваться в хорошо укомплектованном тренажерном зале. На территории кафе, шикарный теплый бассейн. Цены не скажу что низкие, однако для такого уровня вполне доступные. Неплохие лечебные процедуры, которые уже включены в путевку. Даст жизнь, здоровье и деньги - приедем ещё."
134412,1,POSITIVE,134412,Планета,"Республика Крым, Евпатория, проспект Ленина, 73/29",5,Санаторий,"Все понравилось. Персонал приятный, вежливый. Еда вкусная, но не разнообразная. территория ухоженная, приятно погулять, наблюдать за животными и птицами в минизоопарке. Бассейн отличный, плавать можно в любую погоду. Номера удобные, но немного холодно было, сушить вещи негде во время дождя. Чисто . Убирали регулярно. Спасибо персоналу.Расположение хорошее- до моря пол часа ходьбы."
134413,1,POSITIVE,134413,Планета,"Республика Крым, Евпатория, проспект Ленина, 73/29",5,Санаторий,"отличный открытый бассейн, хорошая еда, красивая территория, номера в советском стиле, но по цене лечебных туров от центра оздоровления очень неплохо😀"
144903,0,POSITIVE,144903,Планета,"Республика Башкортостан, Туймазы, улица 70 лет Октября, 9",5,Книжный магазин;Магазин канцтоваров;Учебная литература,"Товаров большое количество, просто огромный выбор. СПАСИБО персоналу знают где что найти Отзывчивый и вежливые"
144904,0,POSITIVE,144904,Планета,"Республика Башкортостан, Туймазы, улица 70 лет Октября, 9",5,Книжный магазин;Магазин канцтоваров;Учебная литература,"Выбор книг достаточно широк,  на разный вкус и кошелёк. Очень вежливый и приветливый персонал,, всегда помогут найти необходимые книги. Если нет в продаже, предложат заказать."
163874,-1,POSITIVE,163874,Планета,"Ульяновск, Комсомольский переулок, 22",5,Магазин одежды;Магазин обуви,"Планет мир одежды и обуви, можно найти что-то крутое, отличное место "
175195,1,POSITIVE,175195,Планета,"Вологодская область, Череповец, улица Монтклер, 17А",4,Теннисный клуб,"Все нормально! \nСпасибо за спорт площадку в нашем чудесном городе. \nЕсть пожелание, оснастить футбольный зал достойным проводимым матчам и турнирам - освещением, на мой взгляд, немного темновато."
181736,0,POSITIVE,181736,Планета,"Красноярск, улица 9 Мая, 77",4,Торговый центр;Развлекательный центр,"Выбор товаров большой, но однотипный и не всегда можно найти то что интересует.  Выбор магазинов внутри ТЦ большой, есть всё: одежда, обувь, украшения, нижнее белье, парфюмерия! Можно купить поесть попить еда и напитки на свой вкус, детей отвести поиграть на небольшую площадку внутри ТЦ. Если запутались в направлениях, то таблички весящие на потолке подскажут, по ТЦ стоят карты. Не развит 2ой этаж. Можно сходить в кино. Как заметила, про цены, не каждому по карману."
181737,0,POSITIVE,181737,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"Все в комбинации отлично, поддержка чистоты и порядка замечательная, приятно проводить время и одному, и всей семьёй в таком торговом  центре ,спасибо👍👏👏👏😉. Единственное, раньше планировка и выбор товаров Окей нам больше нравился, после изменений и перестройки очень напоминает ленту, что теряет смысл его посещать☺🤷‍♀️"
181738,0,POSITIVE,181738,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"Хороший ТРЦ есть все нужные магазины хорошая парковка всегда хватает мест, хорошие отделы для детей, всем рекомендую и советую!!"
181739,0,POSITIVE,181739,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"Всё супер! Это же «Планета»! Есть всё, что нужно! Удобные подъезды со всех сторон, всегда свободные парковки. Есть где обуться-одеться, пообщаться с друзьями, попить кофе, чай, хорошо покушать, выпить, закусить! Идеальное место! Если давно кого-то не видел, обязательно встретишь, даже если и не хотел этого. Мне нравится!"
181740,0,POSITIVE,181740,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"На сегодняшний день, я считаю, впрочем как и многие другие жители города Красноярска, ТЦ Планета  - это самый уникальный магазин с учётом разнообразия выбора товаров и услуг! При наличии: удобного времени работы - с 09:00  до 22:00, бесплатной огромной парковки (наличие также тёплой, платной парковки с автомойкой), торгового ""обжорного"" ряда, кинотеатра и кафе с пивбарами, а также в комплексе с продуктовым универсалом ""Окей"" и магазином строительных материалов  ""Леруа Мерлен"" - ТЦ ""Планета "" можно смело ставить 5 баллов!!!  ТЦ радует своим ассортиментом жителей, гостей города и иностранцев!!! Развлечения для детей, в возрасте от 1 года до 16 лет, на 2 и 3 этажах ТЦ! Туалеты установлены на 1 этаже, указатели не подведут!!! Цены разные, в ассортименте есть всё, начиная от тапочек и белья и заканчивая шубами и коврами; электроникой и хозтоварами, обувью и детскими игрушками; парфюмерией и книгами, посудой и тканями!!!! Рекомендую всем посетить ТЦ ""Планета ""! Не пожалеете , отдахнёте и получите максимум удовольствия!!!"
181741,0,POSITIVE,181741,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"Хороший магазинчик, есть хорошие скидки! Расширяйтесь, а то тесновато!"
181742,0,POSITIVE,181742,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"Выбор товаров и магазинов большой, на любой вкус и кошелёк. Парковка вместительная, подземная  и неземная. Есть фуд- корт, рестораны, кафе, игровые центры для детей. Кинотеатр на уровне."
181743,0,POSITIVE,181743,Планета,"Красноярск, улица 9 Мая, 77",4,Торговый центр;Развлекательный центр,"- Большой выбор товаров, пусть в последнее время многие магазины ушли.\n- Есть как бесплатный надземный паркинг, так и относительно платный подземный\n- Присутствует много зон для детей, в особенности на фуд-корте\n- Большой кинотеатр, множество кафе и ресторанов\n- Приятная атмосфера и чистота"
181744,0,POSITIVE,181744,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,Хороший торговвй центр для покупок и отдыха. много различных магазинов. Доступная парковка. И есть что выбрать. Фитнес спортзал хороший.
181745,0,POSITIVE,181745,Планета,"Красноярск, улица 9 Мая, 77",5,Торговый центр;Развлекательный центр,"Большой ТЦ, можно ходить по нему хоть целый день, если нужно) На 1эт. хороший футкорт, выбор еды разнообразный. Внутри ТЦ находится гипермаркет ОК. На 2эт. есть кинотеатр и зона отдыха и развлечений для деток. Туалетные комнаты современные, всегда чистые."
185514,0,POSITIVE,185514,Планета,"Свердловская область, Екатеринбург, микрорайон Эльмаш, улица Красных Командиров, 72",4,Магазин одежды;Магазин обуви,"В принципе всё нравится. Широкий ассортимент. Доброжелательные отзывчивые продавцы. Цены высоковатые и, такое ощущение, что ассортимент не меняется пару лет."
187798,2,POSITIVE,187798,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",5,Кафе;Ресторан,Всё быстро и вкусно. Пироженки зачет!!!
187799,1,POSITIVE,187799,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",5,Кафе;Ресторан,Очень уютное место. Пришли с семьей. На 23 февраля было приятным сюрпризом получить в подарок бокал пива вкусного. Вежливый персонал.
187800,2,POSITIVE,187800,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",5,Кафе;Ресторан,"Великолепное кафе. Обязательно для посещения. Отличный сервис, очень низкие цены (для такого уровня и вкуса), очень красивые блюда, и очень вкусно. Бизнес ланч 350-400 рублей, при этом салат, первое, второе и напиток, ( очень вкусно и красиво). Приятный дизайн интерьера в стиле классика Европа. Имеется кондитерская, где можно сразу выпить чай кофе и съесть пирожное, кусочек тортика. Рядом зал для покупки и заказа тортов. Имеется парковка, рядом парк Николаева. Очень советую, не пожалеете. С детьми так же очень удобно."
187801,2,POSITIVE,187801,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",5,Кафе;Ресторан,"Отличное кафе, много лет подряд ходим и покупаем здесь пироженки это и корзиночки, эклеры и тортик ""Иллюзия"" всегда все очень свежее и вкусное. В зале можно с детьми посидеть и места всегда есть"
187802,0,POSITIVE,187802,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",5,Кафе;Ресторан,"Отлично провели вечер с ребенком, приятная атмосфера, деликатное обслуживание и вкусный ужин. Только приятные моменты с этим  заведением!"
187803,2,NEGATIVE,187803,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",2,Кафе;Ресторан,"Пришли в заведение для празднования дня рождения дочери. Купили торт в кондитерской в цоколе и присели за стол в кафе на 1-м этаже. Заказали еду.\nНа вопрос, можно ли открыть торт? Получили ответ, что нет! \nТаких маленьких порций я ещё не видел!!! Зато размеры тарелок впечатляющи!!!\nСкидок в день рождения нет! \nДетской комнаты нет!\nТуалет один! Приходится ждать.\nКафе абсолютно НЕ клиентоориентировано!!!\nТорты вкусные, поэтому 2 звезды , а не 1!!!\nВ само кафе больше ни ногой, торты заказывать буду! \nДорого, но вкусно..."
187804,2,NEGATIVE,187804,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",4,Кафе;Ресторан,"Часто бываю в этой кондитерской. Всегда много посетителей. Работают как для посадочных мест, так и на вынос. Иногда нет места, чтобы присесть. Сотрудники работают быстро, слаженно, очередь не задерживается.\nВ кондитерской большой выбор пирожных, есть бутерброды, пицца, но беру только несколько позиций, так как остальные все очень приторно сладкие. Даже дети говорят ""Как это можно есть?"" и не доедают. Пицца некрасивая, какая-то обмякшая, как будто ее везли за тридевять земель. Очень красивые торты, по внешнему виду для торжеств великолепны. В кафе есть информация, что кондитеры занимают призовые места в профессиональных конкурсах. Кстати, давно себе не заказывали торты, поэтому не смогу описать вкус или начинки.\nВ санитарной зоне в раковине течет вода тонкой струей непонятной ранее настроенной температуры, а это минус. Уж при такой посещаемости и заполненности кафе, можно было бы нормально включить воду, а не ""пережимать"" ее, всё-таки дети тоже моют руки! Имеется дозатор с жидким мылом, есть туалетная бумага.\nИнтерьер симпатичный, в стиле ""прованс"".\nВ целом, благоприятное впечатление остается от этой кондитерской, но минусы есть."
187805,2,POSITIVE,187805,Планета,"Чувашская Республика, Чебоксары, улица Космонавта Андрияна Григорьевича Николаева, 6В",5,Кафе;Ресторан,"В данное кафе хожу очень много лет, нравится: удобное расположение, ассортимент кондитерских изделий, всегда все свежее, персонал вежливый, обслуживают быстро,спасибо"
202317,1,POSITIVE,202317,Планета,"Республика Крым, Евпатория, улица Косицкого, 29/73",4,Конференц-зал;Концертный зал,"Очень достойный санаторий. Номера небольшие, но удобные. Есть лоджия. Сантехника рабочая. Санузел в приличном состоянии. По просьбе выдали тазик для постирушек. Жалко, что нет чайника в номере и фена. И один кулер на целый этаж... маловато. Кормили прилично. Однообразные завтраки напрягали, но обеды и ужины были прекрасные. Разнообразные процедуры, которые проводят очень приятные медсестры. Всегда войдут в положение, если им не хамить. Прекрасный открытый бассейн с минерализованой водой. Очень понравилось! И работает с 9 утра до 9 вечера. А огромный великолепный парк на территории ! Это же сказка! Даже оранжерея есть! И туда можно проити посмотреть и вдохнуть аромат цветущего лимона! Спасибо огромное Людмиле Леонидовне. Прекрасная бесплатная экскурсия по парку была проведена Андреем Бондарем. Ярко, четко, интересно Андрей рассказал о растениях и их взаимосвязь с птицами. Да, еще есть белые и черные лебеди, павлины, огромные голуби и белки. И детская площадка не на солнцепеке! Расположение удачное.20 минут  до моря и 20 минут до центра, 15 минут до рынка и10 минут до озера Мойнаки.  До жд вокзала 10 минут на машине."
205941,0,POSITIVE,205941,Планета,"Саратовская область, Балаково, Саратовское шоссе, 58",5,Магазин одежды,"Отличный магазин,огромный выбор товаров по низким ценам, очень удобно для всей семьи ,постоянное обновление товара,отличная цена и качество товара,всем рекомендую посетить этот магазин!!!!"
219654,1,POSITIVE,219654,Планета,"Республика Крым, Ялта, Красноармейский въезд, 2",5,Стоматологическая клиника,"Отличная клиника! Здесь работают профессионалы своего дела: квалифицированные доктора и ассистенты, приветливые администраторы.\nБольшое спасибо Кочкиной Елене Владимировне за внимательное отношение и качественно оказанную помощь!\nРекомендую клинику ""Планета"" всем жителям и гостям г. Ялта! "
219655,1,POSITIVE,219655,Планета,"Республика Крым, Ялта, Красноармейский въезд, 2",5,Стоматологическая клиника,"Благодаря Анифе Нуриевне 👏 🙏\nмои дети с лёгкостью переносят лечение зубов. \nА когда младшей дочери говоришь,что идём к Зубному доктору Анифе - радуется , что будут подарки. \nВчера наш визит был интересен тем , что дочь не заметила когда ей вырвали зуб ), и много приятных подарков дочери : мышка с секретом( вырванный зубик) , браслет, колечко и помнит с прошлых визитов , что когда заморозку делают - угощение чупс ))\nУслышав от меня:-через неделю вернёмся удалять второй зубик\n-ура!, -реакция дочери \nМои ощущения- это не нервозный визит к стоматологу, а очередной Детский праздник 🥳"
219656,1,POSITIVE,219656,Планета,"Республика Крым, Ялта, Красноармейский въезд, 2",5,Стоматологическая клиника,"Клиника отличная, чистые помещения, пунктуальные врачи, администратор всегда позвонит заранее, напомнит о посещении, наш любимый врач Елена Владимировна - очень аккуратная и заботливая, детям очень нравится!)"
